path,extent_lba,size,flags,is_dir
/SPACENUT/TITLE.WAV,25939,65093,0x00,False
/SPACENUT/VICTORY.MID,25870,342,0x00,False
/SURF11.WAV,11020,177028,0x00,False
/SURFOWL.FUV,11107,944934,0x00,False
/SYSTEM.INI,11799,534,0x00,False
/TITLES.FUV,6826,1323336,0x00,False
/VIS.WAV,6678,302289,0x00,False
/VISLOGO.FUV,3078,22912,0x00,False
/VISMENU.EXE,11800,166777,0x00,False
/VISMENU.TAT,31,116682,0x00,False
/WORM11.WAV,1684,137834,0x00,False
/WORMFINA.FUV,1752,723992,0x00,False
