path,ext,size,terms,counts
BIOS/AT_PAL/POSTEXEC.ASM,.ASM,11107,interrupt audio,"{""audio"": 3, ""interrupt"": 2}"
BIOS/AT_PAL/POSUBS.ASM,.ASM,17512,interrupt read,"{""interrupt"": 7, ""read"": 7}"
BIOS/AT_PAL/PREBOOT.ASM,.ASM,12494,GRYPHON interrupt read,"{""GRYPHON"": 1, ""interrupt"": 1, ""read"": 11}"
BIOS/AT_PAL/PRTDSR.ASM,.ASM,14223,interrupt read,"{""interrupt"": 2, ""read"": 9}"
BIOS/AT_PAL/PRTSCR.ASM,.ASM,6299,interrupt read,"{""interrupt"": 1, ""read"": 3}"
BIOS/AT_PAL/RESET.ASM,.ASM,2876,interrupt,"{""interrupt"": 1}"
BIOS/AT_PAL/ROM.MAP,.MAP,19925,read,"{""read"": 4}"
BIOS/AT_PAL/ROMDAT.ASM,.ASM,13533,GRYPHON interrupt media read,"{""GRYPHON"": 1, ""interrupt"": 19, ""media"": 1, ""read"": 1}"
BIOS/AT_PAL/ROMEQU.INC,.INC,22031,interrupt read,"{""interrupt"": 14, ""read"": 19}"
BIOS/AT_PAL/ROMOPT.INC,.INC,18566,interrupt read,"{""interrupt"": 2, ""read"": 8}"
BIOS/AT_PAL/SHUTDOWN.ASM,.ASM,10220,interrupt read,"{""interrupt"": 4, ""read"": 2}"
BIOS/AT_PAL/SPDHOOK.ASM,.ASM,5417,read,"{""read"": 1}"
BIOS/AT_PAL/TESTRM.ASM,.ASM,24078,interrupt,"{""interrupt"": 37}"
BIOS/AT_PAL/TEXTAT.INC,.INC,8531,interrupt read sector,"{""interrupt"": 7, ""read"": 5, ""sector"": 1}"
BIOS/AT_PAL/TIMDSR.ASM,.ASM,50974,interrupt read,"{""interrupt"": 39, ""read"": 60}"
BIOS/AT_PAL/VIDSET.ASM,.ASM,9568,interrupt read,"{""interrupt"": 3, ""read"": 9}"
BIOS/VGA/ALTFUNC.ASM,.ASM,9439,read,"{""read"": 1}"
BIOS/VGA/CURTYPE.ASM,.ASM,7626,read,"{""read"": 4}"
BIOS/VGA/DSPCODE.ASM,.ASM,3099,read,"{""read"": 3}"
BIOS/VGA/EGASUB.ASM,.ASM,24518,interrupt read,"{""interrupt"": 9, ""read"": 10}"
BIOS/VGA/EGATTY.ASM,.ASM,8651,read,"{""read"": 1}"
BIOS/VGA/EGDIAG.INC,.INC,10397,read,"{""read"": 9}"
BIOS/VGA/EGEQUS.INC,.INC,32180,interrupt read,"{""interrupt"": 3, ""read"": 13}"
BIOS/VGA/EGINIT.ASM,.ASM,28156,GRYPHON interrupt read,"{""GRYPHON"": 2, ""interrupt"": 3, ""read"": 16}"
BIOS/VGA/EGLITE.ASM,.ASM,1228,read,"{""read"": 2}"
BIOS/VGA/EGROLL.ASM,.ASM,16178,interrupt read,"{""interrupt"": 2, ""read"": 2}"
BIOS/VGA/FDECOD.ASM,.ASM,11219,GRYPHON interrupt read,"{""GRYPHON"": 7, ""interrupt"": 2, ""read"": 23}"
BIOS/VGA/FONTST.ASM,.ASM,30906,read,"{""read"": 1}"
BIOS/VGA/JOURNAL.DOC,.DOC,17185,GRYPHON interrupt read,"{""GRYPHON"": 20, ""interrupt"": 1, ""read"": 2}"
BIOS/VGA/PALETREG.ASM,.ASM,25075,interrupt read,"{""interrupt"": 1, ""read"": 29}"
BIOS/VGA/PLOGO.INC,.INC,17082,read,"{""read"": 2}"
BIOS/VGA/PRTSCR.ASM,.ASM,6439,interrupt read,"{""interrupt"": 1, ""read"": 4}"
BIOS/VGA/RDCHR.ASM,.ASM,8559,read,"{""read"": 43}"
BIOS/VGA/READCUR.ASM,.ASM,2495,read,"{""read"": 6}"
BIOS/VGA/READDOT.ASM,.ASM,5102,read,"{""read"": 12}"
BIOS/VGA/SETMOD.ASM,.ASM,52983,interrupt toc read,"{""interrupt"": 3, ""read"": 24, ""toc"": 6}"
